Date,Return,Prediction,Predicted_Prob,Position,Strategy_Equity,BuyHold_Equity,Target
2019-12-19 00:00:00-05:00,0.004099263682170173,1.0,0.625096076986634,1,100.40992636821701,100.40992636821701,1
2019-12-20 00:00:00-05:00,0.004384269931039686,1.0,0.6293099967329855,1,100.85015058917111,100.85015058917111,1
2019-12-23 00:00:00-05:00,0.001527801424229036,1.0,0.6341254196592886,1,101.00422959287496,101.00422959287496,1
2019-12-24 00:00:00-05:00,3.08512817090989e-05,1.0,0.6466916269894726,1,101.00734570281593,101.00734570281593,1
2019-12-26 00:00:00-05:00,0.005323453723619087,1.0,0.6714224658950135,1,101.54505363341046,101.54505363341046,0
2019-12-27 00:00:00-05:00,-0.0002475691980790007,1.0,0.671917187450306,1,101.51991420591355,101.51991420591355,0
2019-12-30 00:00:00-05:00,-0.005513719227658309,1.0,0.6678487297032797,1,100.96016190296619,100.96016190296619,1
2019-12-31 00:00:00-05:00,0.0024294518931717857,1.0,0.6745477355285739,1,101.20543975943627,101.20543975943627,1
2020-01-02 00:00:00-05:00,0.009351925744638168,1.0,0.6575202045204365,1,102.15190551701998,102.15190551701998,0
2020-01-03 00:00:00-05:00,-0.007572062382457889,1.0,0.6429458793582747,1,101.37840491595816,101.37840491595816,1
2020-01-06 00:00:00-05:00,0.0038148660669132806,1.0,0.6496524757981208,1,101.76514995278984,101.76514995278984,0
2020-01-07 00:00:00-05:00,-0.002811509000749446,1.0,0.6277867851007268,1,101.47903631773497,101.47903631773497,1
2020-01-08 00:00:00-05:00,0.005329416401257392,1.0,0.634181266602926,1,102.01986035827049,102.01986035827049,1
2020-01-09 00:00:00-05:00,0.006780491781456677,1.0,0.6398875031540677,1,102.7116051829751,102.7116051829751,0
2020-01-10 00:00:00-05:00,-0.0028776420963902982,1.0,0.6269558446066489,1,102.41603794411276,102.41603794411276,1
2020-01-13 00:00:00-05:00,0.006877097376446484,1.0,0.6187554299086128,1,103.12036300996425,103.12036300996425,0
2020-01-14 00:00:00-05:00,-0.0015245889740181928,1.0,0.6261370313414429,1,102.9631468415225,102.9631468415225,1
2020-01-15 00:00:00-05:00,0.002260008774608746,1.0,0.6231773439152254,1,103.19584445684566,103.19584445684566,1
2020-01-16 00:00:00-05:00,0.008318305853030505,1.0,0.6179078922434053,1,104.05425905379948,104.05425905379948,1
2020-01-17 00:00:00-05:00,0.0031125627748216367,1.0,0.6366276836340484,1,104.37813446709198,104.37813446709198,0
2020-01-21 00:00:00-05:00,-0.0019580625246661265,1.0,0.6329939417779855,1,104.1737555535974,104.1737555535974,1
2020-01-22 00:00:00-05:00,0.00012076209674938276,1.0,0.633384740847609,1,104.18633579474432,104.18633579474432,1
2020-01-23 00:00:00-05:00,0.0011468487828851792,1.0,0.635935095370815,1,104.3058217671438,104.3058217671438,0
2020-01-24 00:00:00-05:00,-0.008893086156143593,1.0,0.6434424839292313,1,103.37822110758124,103.37822110758124,0
2020-01-27 00:00:00-05:00,-0.01602955868993239,1.0,0.6387733743086393,1,101.72111384507645,101.72111384507645,1
2020-01-28 00:00:00-05:00,0.010479573013725707,1.0,0.6487163655818059,1,102.78710768465342,102.78710768465342,0
2020-01-29 00:00:00-05:00,-0.0008261152376474179,1.0,0.6317978356740224,1,102.70219368876144,102.70219368876144,1
2020-01-30 00:00:00-05:00,0.0032452805819773722,1.0,0.6210865013775324,1,103.03549112366606,103.03549112366606,0
2020-01-31 00:00:00-05:00,-0.01815779834511122,1.0,0.6016483358085783,1,101.16459345345304,101.16459345345304,1
2020-02-03 00:00:00-05:00,0.00742826376158634,1.0,0.5913372422735544,1,101.91607073695894,101.91607073695894,1
